<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
28/07/20,02:00,1937.1000000,1944.8000000,1935.4000000,1943.3000000,7594
28/07/20,03:00,1943.3000000,1961.8000000,1942.8000000,1959.3000000,16733
28/07/20,04:00,1959.1000000,1961.8000000,1954.6000000,1958.0000000,10094
28/07/20,05:00,1958.1000000,1974.7000000,1956.6000000,1965.3000000,23017
28/07/20,06:00,1965.3000000,1970.4000000,1958.1000000,1959.0000000,11546
28/07/20,07:00,1959.0000000,1959.1000000,1925.9000000,1935.7000000,37525
28/07/20,08:00,1935.8000000,1939.8000000,1934.5000000,1936.2000000,5686
28/07/20,09:00,1936.3000000,1937.7000000,1925.7000000,1933.0000000,11607
28/07/20,10:00,1932.9000000,1937.3000000,1929.6000000,1932.8000000,10653
28/07/20,11:00,1932.7000000,1935.3000000,1900.2000000,1906.8000000,36497
28/07/20,12:00,1906.9000000,1928.0000000,1906.0000000,1925.7000000,15272
28/07/20,13:00,1925.8000000,1930.7000000,1922.2000000,1924.5000000,9235
28/07/20,14:00,1924.5000000,1927.9000000,1916.9000000,1922.5000000,7255
28/07/20,15:00,1922.6000000,1927.9000000,1918.8000000,1923.1000000,9500
28/07/20,16:00,1922.9000000,1934.7000000,1917.1000000,1934.2000000,29781
28/07/20,17:00,1934.1000000,1937.5000000,1925.2000000,1930.3000000,27260
28/07/20,18:00,1930.2000000,1951.3000000,1929.5000000,1950.3000000,36013
28/07/20,19:00,1950.3000000,1950.3000000,1940.8000000,1947.8000000,21075
28/07/20,20:00,1947.8000000,1948.1000000,1940.5000000,1942.4000000,17685
28/07/20,21:00,1942.4000000,1950.8000000,1942.1000000,1949.7000000,13974
28/07/20,22:00,1949.6000000,1951.6000000,1944.6000000,1950.1000000,7039
28/07/20,23:00,1950.1000000,1955.0000000,1947.9000000,1949.9000000,8096
29/07/20,00:00,1950.0000000,1955.6000000,1947.5000000,1950.6000000,3676
29/07/20,02:00,1950.6000000,1956.1000000,1942.7000000,1944.1000000,3208
29/07/20,03:00,1944.0000000,1950.6000000,1943.7000000,1949.7000000,2221
29/07/20,04:00,1949.7000000,1958.7000000,1947.9000000,1952.4000000,5567
29/07/20,05:00,1952.2000000,1959.2000000,1952.0000000,1953.3000000,4876
29/07/20,06:00,1953.4000000,1954.1000000,1947.2000000,1948.6000000,4772
29/07/20,07:00,1948.8000000,1955.2000000,1944.4000000,1950.4000000,4352
29/07/20,08:00,1950.7000000,1951.9000000,1946.4000000,1947.5000000,2386
29/07/20,09:00,1947.3000000,1949.7000000,1946.7000000,1948.4000000,1725
29/07/20,10:00,1948.4000000,1955.6000000,1945.3000000,1954.9000000,5335
29/07/20,11:00,1955.0000000,1960.0000000,1953.2000000,1954.1000000,8476
29/07/20,12:00,1954.0000000,1955.9000000,1952.7000000,1955.6000000,4007
29/07/20,13:00,1955.5000000,1956.1000000,1951.6000000,1953.2000000,4109
29/07/20,14:00,1953.2000000,1954.2000000,1949.2000000,1952.5000000,3567
29/07/20,15:00,1952.4000000,1955.0000000,1950.2000000,1953.3000000,4264
29/07/20,16:00,1953.2000000,1955.4000000,1948.2000000,1955.2000000,10761
29/07/20,17:00,1955.3000000,1957.3000000,1942.2000000,1948.2000000,21346
29/07/20,18:00,1948.2000000,1950.9000000,1935.2000000,1950.3000000,14279
29/07/20,19:00,1950.2000000,1953.9000000,1947.8000000,1951.7000000,6579
29/07/20,20:00,1951.6000000,1953.8000000,1949.3000000,1953.0000000,4513
29/07/20,21:00,1952.9000000,1955.0000000,1951.9000000,1952.3000000,5521
29/07/20,22:00,1952.3000000,1974.9000000,1945.8000000,1959.0000000,22650
29/07/20,23:00,1959.2000000,1963.8000000,1945.2000000,1962.3000000,15369
30/07/20,00:00,1961.8000000,1964.8000000,1959.6000000,1964.5000000,713
30/07/20,02:00,1963.4000000,1965.1000000,1960.1000000,1962.6000000,241
30/07/20,03:00,1963.0000000,1963.8000000,1958.7000000,1959.3000000,243
30/07/20,04:00,1959.1000000,1962.1000000,1957.6000000,1959.6000000,255
30/07/20,05:00,1959.8000000,1963.1000000,1954.8000000,1956.1000000,400
30/07/20,06:00,1956.2000000,1960.9000000,1953.8000000,1960.9000000,334
30/07/20,07:00,1961.2000000,1962.0000000,1957.2000000,1959.7000000,362
30/07/20,08:00,1959.6000000,1959.6000000,1954.2000000,1957.0000000,249
30/07/20,09:00,1956.8000000,1956.8000000,1949.5000000,1951.2000000,683
30/07/20,10:00,1951.2000000,1955.0000000,1943.0000000,1949.0000000,1025
30/07/20,11:00,1948.7000000,1950.7000000,1939.9000000,1948.1000000,1348
30/07/20,12:00,1948.3000000,1951.8000000,1943.0000000,1944.8000000,1104
30/07/20,13:00,1943.9000000,1946.8000000,1936.4000000,1946.8000000,1156
30/07/20,14:00,1946.8000000,1948.1000000,1943.0000000,1945.8000000,663
30/07/20,15:00,1945.8000000,1950.6000000,1945.3000000,1946.1000000,560
30/07/20,16:00,1946.6000000,1947.9000000,1935.4000000,1946.4000000,1846
30/07/20,17:00,1946.5000000,1954.2000000,1943.5000000,1946.9000000,1379
30/07/20,18:00,1947.1000000,1950.2000000,1932.4000000,1937.8000000,2107
30/07/20,19:00,1937.5000000,1942.0000000,1930.0000000,1941.0000000,941
30/07/20,20:00,1940.6000000,1943.4000000,1938.3000000,1942.6000000,286
30/07/20,21:00,1942.5000000,1945.7000000,1941.2000000,1944.5000000,466
30/07/20,22:00,1944.7000000,1945.5000000,1942.9000000,1944.4000000,306
30/07/20,23:00,1943.9000000,1949.0000000,1942.9000000,1948.5000000,410
31/07/20,00:00,1948.3000000,1949.0000000,1944.2000000,1947.4000000,86
31/07/20,02:00,1973.6000000,1976.6000000,1971.4000000,1972.9000000,2465
31/07/20,03:00,1972.9000000,1974.7000000,1971.7000000,1973.3000000,2461
31/07/20,04:00,1973.3000000,1978.5000000,1972.3000000,1975.5000000,5876
31/07/20,05:00,1975.3000000,1984.7000000,1975.1000000,1982.0000000,8909
31/07/20,06:00,1981.9000000,1988.8000000,1981.5000000,1985.3000000,9768
31/07/20,07:00,1985.3000000,1990.0000000,1984.7000000,1988.0000000,7086
31/07/20,08:00,1988.0000000,1989.2000000,1984.2000000,1986.2000000,6912
31/07/20,09:00,1986.1000000,1994.0000000,1985.8000000,1992.3000000,8709
31/07/20,10:00,1992.2000000,1997.5000000,1989.5000000,1996.6000000,15059
31/07/20,11:00,1996.6000000,2005.4000000,1988.5000000,1997.5000000,19450
31/07/20,12:00,1997.6000000,1999.0000000,1993.7000000,1996.2000000,7602
31/07/20,13:00,1996.3000000,1996.8000000,1993.4000000,1994.3000000,6583
31/07/20,14:00,1994.4000000,1996.6000000,1991.6000000,1992.6000000,7752
31/07/20,15:00,1992.7000000,1993.8000000,1988.5000000,1992.7000000,10655
31/07/20,16:00,1992.8000000,1997.2000000,1991.1000000,1991.9000000,18609
31/07/20,17:00,1991.9000000,1994.0000000,1975.8000000,1983.6000000,44908
