V1,perm_ent4,mse,mape,sym_test
M1,0.9096623129209902,787410.5947248966,0.15303453413784207,False
M2,0.9894947046215167,124845.92709451352,0.19859433656631198,True
M3,0.9322017001018209,51205.183696846514,0.014830682690369622,False
M4,0.9214488021977111,37140.888891220995,0.027042136271777553,True
M5,0.9232843223358003,4278.665291152218,0.012104319577336896,True
M6,0.6812513548486678,501385.4993552958,0.0574180657439661,False
M7,0.9056780309216947,7590.2469197537075,0.07616601984490436,True
M8,0.8960214202185529,5744.833901577423,0.05541369995864201,True
M9,0.7777459735150731,62105.04795651572,0.04306272795898637,False
M10,0.776543176614897,569708.6122744142,0.11718875225649145,False
M11,0.8013196934061761,2757.9407338825895,0.003372135809321823,False
M12,0.8632458435467385,1733.607112962907,0.013219739940924867,False
M13,0.8040854470401337,507.868466803848,0.00931576569029808,False
M14,0.7522307277634555,565.1066920438917,0.003742608209980687,False
M15,0.6867553785857403,97.30487914953405,0.003148719619754335,False
M16,0.8118833755065177,3002.5003978053223,0.003294041415045949,False
M17,0.8450909469575381,1739.0480684498534,0.004846628570425766,False
M18,0.7303037365904617,1192.895015569242,0.004512409978796084,False
M19,0.8764377264840896,184043.52369334677,0.08304365597274294,False
M20,0.9628035264324318,402070.8785115232,0.13615551463682818,True
M21,0.9437696527415413,54950.09914097377,0.10127233683628843,True
M22,0.9029563154810462,30214.161976559055,0.10739510926052626,False
M23,0.8690717284536479,672126.6731065154,0.10092537298155853,True
M24,0.4442751444560485,5832.877914950277,0.005124182666080577,False
M25,0.4982339001885221,5907.753313785852,0.009014608448494093,False
M26,0.0,6203.856483404057,0.0033715701868795005,False
M27,0.5402508168712926,3495.079161645446,0.014468031083040792,False
M28,0.9285063703884605,46338.47929005494,0.08520115079511183,False
M29,0.9866102592354242,635164.6892101434,0.07238618324763385,True
M30,0.9836480236646428,52491.347746090556,0.0816589488135297,True
M31,0.9913028741082756,300712.2230074745,0.09728172182272665,True
M32,0.9872923666598713,214420.5113843624,0.1115560190603963,True
M33,0.9702078798241416,1573482.5825925795,0.05577078521961428,False
M34,0.9743642252377477,157651.0550687937,0.06966157020531416,False
M35,0.9613233335654561,39736.609669341924,0.07647694097354622,False
M36,0.9770986685895875,86817.92022990398,0.06401846096051483,True
M37,0.9758291109730935,1518115.0439849151,0.11136483026407262,True
M38,0.9760390531386282,349846.9531993821,0.0834910925670842,False
M39,0.9585299871967071,9218.670044855935,0.02811612889787621,False
M40,0.9919628537648795,455071.44520706544,0.13165269472624763,True
M41,0.5773212161644135,66250.30019286726,0.03750551745410408,True
M42,0.9226027805463148,67907.85190144024,0.02984869317749741,True
M43,0.8418436681181972,156888.67621358047,0.04123008256069077,False
M44,0.9260529413042401,32423.50527633766,0.09657829727704309,True
M45,0.9395886973466563,32438.90415116618,0.14866752509538464,True
M46,0.9904188154582979,164857.71874252256,0.11069696125113421,True
M47,0.9800018142177274,1829136.7001851161,0.32834272497220607,True
M48,0.922740928482737,16552.01378887705,0.11275856428787596,False
M49,0.9816596535540577,4349.5146846364205,0.043522741875800706,True
M50,0.8905979764187542,3475.4992986551115,0.045284002240184335,False
M51,0.9357874227606386,3802.9310190061556,0.05402286168534584,False
M52,0.9701341887595175,20290.837972359193,0.030881247612361676,False
M53,0.8040559861261276,37192.845999382356,0.07428329903552544,True
M54,0.9661808516857966,220033.32224698385,0.06593853323072629,True
M55,0.9613963770370402,19917.258603635444,0.03390519340247301,False
M56,0.9733046072961321,152711.60746831304,0.04573085194366354,True
M57,0.9872516131532145,247103.39954369018,0.05968588621233079,True
M58,0.9578489598740807,230500.58630137166,0.08020462756937187,True
M59,0.9572844948240113,432893.07516474574,0.09066270364778965,True
M60,0.9926903881905816,123445.27278161903,0.043250287430331394,True
M61,0.9751910316043931,1030583.053123936,0.3396406460155389,True
M62,0.9810141921022982,433888.8940566532,0.11745791974600005,True
M63,0.9642990151069069,324859.29575562547,0.1351050929806783,True
M64,0.9698564161425488,159165.7403081617,0.04018980534041432,True
M65,0.959106150039371,375736.3550344302,0.1595873910151217,True
M66,0.9548942019735012,296743.5424182436,0.07316956723567308,True
M67,0.9687285674697902,386603.5707342939,0.12824428072022123,True
M68,0.9873108462786424,291904.01410404587,0.10251092641355175,True
M69,0.9740707916693572,182012.3275946495,0.0710158248162382,True
M70,0.9934617908091153,548229.5883233892,0.14714391692286818,True
M71,0.9646455111479364,327160.0877266795,0.09414572271136037,True
M72,0.9735963627084919,156874.3122261315,0.1330375519590738,True
M73,0.9609233227432887,189969.9361908096,0.07128996664008991,True
M74,0.9846810683136324,177128.97061145387,0.04774831305776602,True
M75,0.9779655634061319,119549.62614670774,0.038041182655741954,True
M76,0.9910840313176666,387340.9363383383,0.08299567327946338,True
M77,0.9923262883319065,297133.6741209188,0.07594884352663893,True
M78,0.964901944416194,350621.44373978046,0.12196034063748352,True
M79,0.9686510982134124,269537.2099856649,0.10880612650572735,True
M80,0.9941330004945202,621985.8740417024,0.15969168750893295,True
M81,0.9608315302074903,228345.13591378587,0.16638365306802302,True
M82,0.9740147317682689,140461.10549238537,0.06735305120616394,True
M83,0.9750320222234542,192807.58964897046,0.11696502853436647,True
M84,0.9697883070023309,169625.91754197484,0.06378843300012332,True
M85,0.9696621576589352,151660.93337969895,0.0599324650309185,True
M86,0.8804474710818784,187238.1571305203,0.04288741941266067,False
M87,0.9331380202918392,16149.248979424117,0.01284969930022762,True
M88,0.9156444366742615,19681.83422956082,0.01340704245762382,False
M89,0.8920009747132371,8855.685759094451,0.07202061734285539,False
M90,0.8709359051441123,562196.3987879233,0.05831164459015735,False
M91,0.7859339213550457,1423.153151920465,0.021145610438418047,True
M92,0.1830327789901948,5357.992307270251,0.00736467656463382,False
M93,0.8398293365528587,197910.34655912232,0.21427582742881351,False
M94,0.6083894300694389,835.8197358710856,0.01235754803252034,False
M95,0.6440813777388652,44323.74019702918,0.09632557213892441,True
M96,0.5822700484334763,1695.956021879323,0.02730356042833169,False
M97,0.7093455092247427,352930.99538834015,0.2032911175563815,True
M98,0.5245242027770831,10596.287188065726,0.03187400484098715,False
M99,0.7552674361510542,185589.5220728398,0.09821626999682356,True
M100,0.8130745887271514,2160.4421508916985,0.017526921157657614,False
M101,0.5950254997475113,3707.228130246809,0.021945124306977846,False
M102,0.7558770039444868,3491804.5944395517,0.1296901155364542,True
M103,0.8583080599948889,654214.592553087,0.3178463677124018,False
M104,0.652679934411752,6348.392114951998,0.04223941108878015,False
M105,0.8498814233816216,419.1395602880417,0.006497537104947344,False
M106,0.7514074221636609,485.4389115912037,0.013103058093138718,False
M107,0.43878332490502603,445.0616232510467,0.007402072868284474,False
M108,0.6651119001694558,17197.567614403233,0.04347523733538816,False
M109,0.18578205636647177,43662.12760857317,0.018109154710607867,False
M110,0.19352708840258415,5772.276271879407,0.02743665175477884,False
M111,0.6951646560040488,1593.7694005487147,0.019476156487593186,False
M112,0.19352708840258415,2763.7500386146453,0.0256781661107654,False
M113,0.5261719253609162,1475.2539533607815,0.015822078578140563,False
M114,0.7361647595682181,369075.9569786702,0.20800700341750888,False
M115,0.6639040100073115,20.371852537717828,0.0023871784998797476,False
M116,0.8673921171237622,388.48883628260177,0.008993365588408095,False
M117,0.7462970489164766,84693.6630178386,0.009273103076266116,False
M118,0.8187285577394892,2056432.8161453782,0.0686766520335338,False
M119,0.8752465384515881,2950188.6308641788,0.0894463766102158,False
M120,0.8284994380162429,155472.8445196842,0.11815174621854634,False
M121,0.8639076279073046,3038757.9712825827,0.09342571449886478,False
M122,0.8935298299503788,6015873.986351198,0.13872322705977683,False
M123,0.912886916918102,9264036.090761362,0.1413769174782065,True
M124,0.9936492471305559,26265199.837299272,0.6129716714134709,True
M125,0.9119788781684816,1341246.3427993145,0.11043511978248424,True
M126,0.934756373308058,31590.52388497955,0.11140791777028564,True
M127,0.7112525707470482,28660.434761110846,0.0666836625867114,False
M128,0.9692141769526285,4355080.90636338,2.8930360555043975,True
M129,0.9604614662887339,8186535.488224821,6.499126117315914,True
M130,0.8447117676663299,251299.47117613198,0.16570411455452205,True
M131,0.7405001486812939,5764.732540946472,0.058975347574037856,False
M132,0.9018339371889516,2233.217606927328,0.0381545252834923,True
M133,0.8472724511002155,42229.11048740462,0.22319410922197422,True
M134,0.80693032097129,74599.16711282791,0.3770973574399771,True
M135,0.8876644780364761,686.7932818244207,0.020807576093229016,False
M136,0.8491214653200613,2303.5253209877956,0.03644639450892441,False
M137,0.8546721471306097,240.40726652951884,0.01120025263754546,False
M138,0.7293755622679499,1105.5195287379995,0.017142890973747073,False
M139,0.6898151016265323,5552.841514540636,0.040518593661273146,False
M140,0.6370254404637075,31373.13130534951,0.07593084405662658,False
M141,0.8799628421394609,438525.46242558345,0.329980805638014,False
