,ent_rate4,value__sum_values,"value__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.2","value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.4","value__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.8","value__augmented_dickey_fuller__attr_""usedlag""__autolag_""AIC""",value__mean_n_absolute_max__number_of_maxima_7,value__quantile__q_0.1,value__cid_ce__normalize_True,value__variation_coefficient,"value__agg_autocorrelation__f_agg_""median""__maxlag_40","value__agg_autocorrelation__f_agg_""var""__maxlag_40"
Q1,0.5120129540109148,180887.0031249778,65884.04137992489,-54.4042762483401,3193.3751946173784,2.0,7718.498973991443,6635.89605204278,3.600122713904655,0.059901034588123,0.1227839099751175,0.5897585417842212
Q2,1.5157101741075198,186523.5834928456,89582.42397544219,-73.83582544210022,4.7085045527094085,5.0,8032.877652483114,6877.8403057274,3.2782261797798857,0.0620339522602951,0.0443513926268136,0.6677963084124516
Q3,1.2313074711131688,199910.3047334052,203665.44091601585,-95.93213229081692,2530.594913207872,0.0,8676.982917490785,7194.62170317482,3.654678461153669,0.0762215693843485,0.031605063784619,0.4775282567283696
Q4,0.03468930763609772,202918.9664143264,94823.4507987559,-106.46281495563304,208.06008884588755,0.0,8667.572608241357,7534.42477330848,3.664353241812508,0.0576787106788061,-0.0419002831415121,0.4671947880801519
Q5,0.38077876361970503,89192.0,435258.553583169,163.57142857142858,9216.0,3.0,2489.428571428572,908.0,8.888149633428373,0.3378924968287992,-0.0552201795818144,0.0430316727153643
Q6,1.5741539669590412,544712.5,29866.4459726353,47.48750000000007,5801.519374999979,11.0,9659.22857142857,8911.0,6.694099443699914,0.0295677188851717,0.0242797545776744,0.103791878256966
Q7,2.079328272301991,197259.0,3293.00538964902,5.515384615384637,2041.7122222222213,1.0,3476.714285714286,3231.84,6.270431647841789,0.0251165785722701,-0.0234144764784288,0.1382817926933033
Q8,1.6096749961926922,147600.9,2525.7337749999933,9.254545454545472,722.9918749999922,6.0,2613.757142857143,2402.5,7.789991253010026,0.0280979843209316,0.0709154149105688,0.1064056834680888
Q9,1.46306828399277,154024.3,23071.32408163265,-4.405263157894751,145.21500000000668,11.0,2858.228571428572,2387.28,7.137009337653455,0.0644815394403482,-0.2874194871223289,0.1363527307890105
Q10,1.6886201905786364,148635.90000000002,1032.326775000001,9.55384615384614,1020.8479999999976,11.0,2674.914285714286,2402.32,7.578566493987352,0.0366550428903107,-0.160970415213585,0.0626039775769291
Q11,1.793131745407473,68164.59999999999,386.6039143367035,0.7384615384615315,373.3468749999981,11.0,1227.5857142857144,1100.9,7.539328533255284,0.0364268608074249,-0.1686677031183041,0.0755118109653134
Q12,1.0905287968156587,208251.0,229572.524375,-43.27272727272727,4264.222222222223,3.0,4281.571428571428,2920.2,7.801913504615434,0.1273194975506722,-0.1771637225282403,0.0715123812602894
Q13,1.8085210200366764,79478.8,380.2476000000007,12.91500000000001,310.94913580247106,11.0,1724.5571428571427,997.28,7.743356710081152,0.1833268799935614,-0.0578728874317408,0.1057519332339487
Q14,2.041006657056175,507990.0,186441.0,92.94117647058825,121697.95918367348,11.0,11775.714285714286,5892.0,7.938860437355744,0.2312671714883684,-0.0654025863693106,0.1177665177156429
Q15,1.9804076081959283,80485.0,16571.288548752833,-0.8571428571428571,1566.0,2.0,1611.571428571429,1066.2,7.113905428097126,0.1326478421587514,-0.1639090362447212,0.0827157100363817
Q16,2.137970078609003,79123.0,5389.025580011898,11.6,8899.135802469136,11.0,1971.7142857142856,873.2,7.533225822516325,0.2727672491175493,-0.0430189194640432,0.1112162401691476
Q17,2.207940300852591,123129.8,1949.0516937500004,0.5947368421052847,2888.3669135802547,11.0,2379.914285714286,1855.36,7.411410446393832,0.0829588990952198,-0.0221253895421518,0.0999036912539363
Q18,1.6324337140300011,319329.0,119485.44510190662,-30.933333333333334,38018.0,2.0,6214.0,4724.2,5.853094982866092,0.0982405748743693,-0.2837009791309052,0.2437674771731602
Q19,1.8589902196717465,304986.0,39719.93027210884,1.2307692307692308,7391.472222222223,6.0,5527.714285714285,4890.4,6.730234826601596,0.0420209920890999,0.1389544450915959,0.1935561791636733
Q20,1.962798433154808,346014.0,27771.500297442,19.785714285714285,2124.5,1.0,6210.571428571428,5653.2,5.80061213533214,0.0337852301250551,0.1170447376443961,0.1874700091974899
Q21,2.1053156115205183,556670.0,49059.62809917357,-17.727272727272727,14285.38775510204,1.0,10031.285714285714,8827.6,5.733347085188743,0.0435983057288488,-0.0067900228270653,0.1420208300299967
Q22,2.015667915912562,252070.0,23595.20710059172,3.789473684210526,38567.58024691357,11.0,5060.857142857143,3678.2,7.388522361356236,0.1068814158960379,-0.0175047638811401,0.083899878410577
Q23,1.1779455696649952,741251.1000000001,14570.381354963789,22.14285714285712,12875.142493074816,11.0,6055.242857142858,4338.52,10.37274652606957,0.1102108209246789,0.1668018003102229,0.0560136065366433
Q24,2.1928872798093444,144486.49999999994,6259.363326758707,-2.2642857142857014,787.2795918367335,3.0,2591.6857142857143,2294.36,6.417136727784243,0.045878107156833,-0.2933245126204474,0.1650634350275031
Q25,1.9141754141817415,86840.70000000001,5507.966245890865,-4.0625,543.3488888888909,11.0,1583.642857142857,1362.74,7.617119592078328,0.0545541981901844,-0.2577811805253799,0.1227043338721814
Q26,1.2696467561460718,445760.0,1419005.5555555555,118.88888888888889,93025.0,2.0,9257.142857142857,6362.0,11.364994929514598,0.1282810094907809,-0.0133034873935143,0.0412146547531706
Q27,1.7003035170786156,550372.0,106408.8181154127,-36.42857142857143,111917.55555555556,5.0,9930.285714285714,8918.6,8.06107564514215,0.0359442880275762,-0.1669390495142603,0.0690332385041259
Q28,2.090381374434203,254380.0,26721.0,34.285714285714285,4440.0,11.0,4852.857142857143,3890.0,8.034634500158107,0.0828897609310637,-0.0318124142549039,0.1093203939638376
Q29,1.483455930774483,115020.0,5614.569160997732,5.0,1488.8888888888887,0.0,2105.714285714286,1846.0,8.158980163614345,0.0436527227237719,-0.0111281735917083,0.0437280173511308
Q30,1.3732561966595207,180420.0,2094.521548575603,3.333333333333333,558.3333333333334,0.0,3148.5714285714284,2958.0,9.684757438490989,0.0232077763000038,0.0026150837526871,0.0396895053742626
Q31,1.664541895234381,143230.0,2744.1135734072022,3.571428571428572,613.888888888889,0.0,2534.285714285714,2340.0,9.461579024033975,0.0267209693467941,-0.0463329047740289,0.0345413428475822
Q32,1.863446655733564,245100.0,20711.76857330704,-12.142857142857142,11668.75,11.0,4612.857142857143,3766.0,8.150672473525864,0.0723366361872195,-0.1657485969901706,0.1017989111049353
Q33,1.7047738353872184,426810.0,6736.466389054134,34.5,12809.876543209875,11.0,8168.571428571428,6356.0,7.8324141770101825,0.0921474058012282,-0.0921353353710629,0.1197919082402258
Q34,1.6920482546422166,378420.0,15896.778435239972,21.11111111111111,20660.9375,11.0,7170.0,5794.0,7.686426581442939,0.0817228450100167,-0.101980033646979,0.1424792902864344
Q35,1.9569386406241132,532780.0,33233.67043426532,68.23529411764706,24080.55555555555,11.0,10081.42857142857,7974.0,7.720130492824154,0.0854749574334941,-0.0704742296462202,0.1211924126447284
Q36,1.8838298762191656,449380.0,24044.497323022013,61.11111111111112,42911.11111111111,11.0,8932.857142857143,6214.0,8.031342240485978,0.1230179355964641,-0.0940741031339129,0.1069164355931431
Q37,1.9427902394443874,226610.0,17191.68975069252,22.94117647058824,23167.34693877551,11.0,4372.857142857143,3316.0,8.59748490266413,0.0959107174743585,-0.0581584147715618,0.0907935589072341
Q38,1.7463643350407143,316960.0,84645.0,58.66666666666666,46093.75,11.0,6378.571428571428,4526.0,8.528049985884294,0.1259771129920242,-0.0704398383525016,0.0746132175763147
Q39,1.7294161971359188,287420.0,154811.17685733075,5.833333333333333,53018.75,11.0,5980.0,3844.0,9.07313205657513,0.1458121754767372,-0.0599760915412138,0.0625006599288096
Q40,1.0883976955774752,268970.0,2843.4265318262937,23.33333333333333,1012.2448979591836,11.0,5138.571428571428,3956.0,7.661410994099333,0.0987128549586163,-0.1152795997062101,0.1394024423096899
Q41,2.059504325118033,94834.0,496.9268292682927,11.523809523809524,150.0987654320988,11.0,1893.0,1345.4,7.481001549821261,0.1278157627846102,-0.0826002942335947,0.1428627704802429
Q42,2.5693684656260922,105434.0,1187.214753123141,8.833333333333334,1156.2469135802469,11.0,2089.5714285714284,1496.8,7.667049610804691,0.1160950493742177,-0.0766865646797792,0.111897985483099
Q43,1.3288268311667633,275950.0,4739.0,18.5,3083.9506172839506,11.0,5282.857142857143,4040.0,7.873761543178033,0.0982510900973234,-0.1065475078304929,0.1223257394619193
Q44,2.1924883609618107,64205.0,241.323022010708,6.35,378.22222222222223,11.0,1269.0,920.8,7.507216640759141,0.1150077246928747,-0.0956395866761493,0.1322593125844225
Q45,2.338039703994439,96858.0,853.1469363474121,10.526315789473683,173.87654320987656,11.0,1908.142857142857,1376.4,7.402859299959754,0.1232708735034439,-0.1136189655712922,0.1493884155007457
Q46,2.3390233105603406,176710.0,6312.163050624588,25.55555555555556,560.0,11.0,3337.1428571428573,2644.0,8.578084622110683,0.0834267849428971,-0.1329926717367604,0.1250255065440414
Q47,2.2533647789939226,492350.0,52455.35831689677,30.58823529411765,13654.32098765432,11.0,9648.57142857143,7044.0,7.684702819212534,0.1102031370756467,-0.0956275907179672,0.1360570053008926
Q48,1.6486398297670377,66926.0,2313.527942143327,4.411764705882353,3588.734375,11.0,1382.0,922.8,8.14599445274827,0.137217187930504,-0.0587259282526218,0.0982440465971426
Q49,2.383221195162801,439930.0,41028.197501487215,31.176470588235293,41100.0,11.0,8817.142857142857,6238.0,7.442254365188753,0.1256311250413505,-0.0719226885326255,0.134166863811793
Q50,1.5223690128695562,462400.0,81840.36817882971,72.14285714285714,74795.91836734694,11.0,9255.714285714286,6582.0,7.292865868524927,0.1250275461740141,-0.0837721949827532,0.1486435281139451
Q51,2.06876782820722,70536.0,3499.3966398831258,-1.2777777777777777,1626.2040816326537,11.0,1461.7142857142858,976.8,7.604657242895596,0.147627485117882,-0.0663061777709436,0.1384733203844074
Q52,2.2866108756551085,307360.0,9404.865220249834,49.44444444444444,1795.9183673469392,11.0,5797.142857142857,4660.0,7.563928053057456,0.0831476937758676,-0.1010400551298978,0.1539605374270442
Q53,2.3626818329641575,132249.0,3207.1518737672586,18.11111111111111,4739.654320987655,11.0,2631.428571428572,1902.0,7.244555652420379,0.1163312111784893,-0.0760024902937516,0.1448784028509599
Q54,2.6731115496930142,85288.0,685.1005353955978,8.470588235294118,210.9375,11.0,1642.7142857142858,1249.8,7.534381229348878,0.096763975554244,-0.0664034922514184,0.1172434995717917
Q55,2.01164604845553,365490.0,14594.0,30.0,3976.0,11.0,6824.285714285715,5486.0,8.191076876402542,0.0780322115170768,-0.0634294182214922,0.095558541121638
Q56,2.2330096093680076,152910.0,7067.676592797784,30.31578947368421,6058.469135802468,11.0,2998.8571428571427,2150.8,7.909263055186514,0.1226188867316745,-0.0950189125589308,0.1220976678813183
Q57,2.603420983917896,73885.0,405.3289708506841,7.571428571428571,519.1358024691358,11.0,1452.2857142857142,1070.0,7.64876760649827,0.1105680024701154,-0.0754678705873952,0.1308132328706819
Q58,2.159223165444992,391400.0,11407.626561472716,38.75,13906.122448979591,11.0,7392.857142857143,5920.0,7.3984269175743105,0.0853017585346868,-0.1399961479770288,0.1510586964522914
Q59,2.3447369204580832,499880.0,38353.4375,25.0,26991.83673469388,11.0,9614.285714285714,7428.0,7.50758982897704,0.0950312450188479,-0.110968997412322,0.1234445871858949
Q60,1.9799725265244161,70486.0,873.559375,4.0,81.26530612244896,11.0,1396.7142857142858,1016.2,7.583152388462912,0.1112106269885167,-0.0946877002090705,0.1133646082224649
Q61,3.4625612591035764,313564.9,2387.113059142526,13.704301075268818,4272.499073724005,16.0,2740.0714285714284,290.5,11.543678797833648,0.690346332418703,0.5008178319593906,0.0255781004045008
Q62,2.146199018966543,115903.0,5287.983209876544,-7.384615384615385,1726.6938775510205,3.0,2061.285714285714,1588.4,3.651059068972864,0.0951901513951451,0.0662659693315775,0.2241464457254094
Q63,2.1541986420669073,116829.0,36511.92627599243,0.375,6588.098765432099,0.0,2539.1428571428573,1336.6,3.994079638525812,0.2430213721986012,0.0575390807281975,0.1770107176107259
Q64,3.778447690428907,261827.5,1808.0908980106824,13.534736842105264,5419.490458412088,16.0,2977.742857142857,85.9,11.221319662924389,0.9140103181959002,0.4870151576083044,0.0283345961075145
Q65,1.292356857281296,284916.0,118602.60543209876,-7.8125,7748.75,1.0,5436.571428571428,3868.4,5.636075524441343,0.1222506751647803,-0.0356409524834702,0.1909989700693734
Q66,2.522406946816215,607967.0,21140.839373767256,42.391891891891895,62757.49653739611,15.0,8693.285714285714,311.4,10.080617215855174,0.8600687456265326,0.486127098403007,0.0294504993422109
Q67,1.3511920160933113,499854.0,756046.2350617283,67.94444444444444,21865.689999999995,11.0,10046.42857142857,6547.0,5.680929239062834,0.1499112722890829,0.058947033220038,0.1133592087466075
Q68,2.06374197369193,151574.0,52920.99741735537,31.1,5289.56,11.0,3203.714285714286,1692.0,7.153376775908476,0.2310280128832419,-0.0147476700112372,0.1209432641502056
Q69,2.5768217393304154,51675.0,1447.5020408163266,6.1,545.1388888888888,1.0,1099.857142857143,872.8,6.001947714683367,0.0912973791645915,0.0258084802776379,0.163152983703675
Q70,1.5145648240331335,1103273.1,3919.4243795620464,48.323529411764696,6260.032534602081,14.0,10594.528571428573,1779.8,11.81699954418859,0.4747005594031725,0.2839509740019047,0.0581685301703698
Q71,1.781600669927939,251010.0,43275.17301038063,43.07692307692308,26935.9375,11.0,5541.428571428572,4100.0,6.318978719078499,0.1046590730263894,0.000155433528434,0.0950991924002222
Q72,2.1196388247907243,176740.0,34612.006489994594,-15.714285714285714,16033.057851239668,11.0,3778.571428571429,1992.0,7.591380315874215,0.222526681108347,-0.0006963089580482,0.0873959704264465
Q73,1.085664109060639,255371.1,3068.514603174608,24.642857142857164,2030.9056198347137,11.0,4992.614285714286,3383.94,7.007609671894642,0.1382696148156867,0.0114154086580378,0.1077022581229429
Q74,1.81139579861809,145200.9,31235.58742022715,13.05,1448.805123966946,11.0,2898.514285714286,1868.92,6.861116829241149,0.1548064289443105,0.0103404574463642,0.0817421852063758
Q75,0.83460218375261,88927.90999999999,86.40994462809903,3.473809523809515,55.503633057851,11.0,1564.7328571428573,1262.55,7.873677555566871,0.077087236782571,-0.0018722713644471,0.0604856128251494
Q76,3.4837696513665253,1795989.4,4595.480245912644,57.19042553191489,7141.478650973299,14.0,13159.528571428573,2387.2,12.22292678006549,0.5418411106781964,0.4686272864208142,0.031155523994597
Q77,1.5907039144940927,1399455.6,5199.368557942711,83.09693877551022,9427.750000000016,14.0,16949.45714285714,388.5,10.712194741381396,1.0136348494052367,0.504636268064886,0.0364352947011162
Q78,1.641290107130177,1364160.5,5040.577993706594,80.96224489795918,9246.537981770824,14.0,16518.0,383.7,10.708115989772812,1.013575103053677,0.5052455429468234,0.0363381200037738
Q79,3.7670459826935376,465690.0,8361.884800888865,-1.0975609756097562,1384.9525200876556,11.0,2074.285714285714,1490.0,13.078396893704245,0.1003700684259856,0.1729001528968951,0.0277977543701441
